Problem Number,First Solution Time (s),All Solutions Time (s),Number of Solutions
634,3.246050,12.0149,1
635,2.458764,13.2118,1
636,0.000655,12.4213,1
637,0.199914,12.8283,1
638,2.348975,13.1761,1
639,3.895833,12.7463,1
640,1.170180,12.3387,1
641,0.002635,12.5912,1
642,0.102401,12.8558,1
643,0.000076,12.6445,1
644,0.094563,12.3688,1
645,0.286599,12.4466,1
646,0.112502,12.4213,1
647,1.088306,12.8096,1
648,1.376340,13.1384,2
649,1.014404,12.5915,1
650,0.000347,12.6634,1
651,1.101905,12.8155,1
652,0.002042,12.6633,1
653,0.015952,12.372,1
654,0.000289,12.5514,1
655,0.123431,12.6906,1
656,0.085035,13.4954,1
657,0.319286,12.312,1
658,4.031082,12.931,1
659,0.058370,12.7353,1
660,0.037580,12.8319,1
661,0.727809,12.8351,1
662,0.358164,13.0789,1
663,0.008500,12.7374,1
664,0.228635,13.1324,1
665,0.313478,12.1108,1
666,4.354624,12.4675,2
667,0.437627,11.6535,3
668,0.123803,12.4679,1
669,0.001346,11.9334,1
670,0.012361,12.656,1
671,0.003697,12.8246,1
672,3.026986,13.5435,1
673,3.900674,12.894,1
674,4.569487,12.7878,1
675,0.000698,13.0126,1
676,0.113798,12.7611,1
677,0.040569,12.092,1
678,1.254839,12.9965,1
679,0.118720,12.4608,1
680,0.001297,12.8492,1
681,0.001090,12.6267,1
682,1.288323,13.5653,2
683,0.001523,13.7048,1
684,0.671780,13.1455,1
685,0.353121,13.3655,1
686,0.749260,13.6412,2
687,2.623955,13.7704,2
688,0.004177,13.3575,1
689,0.000194,13.1442,1
690,0.051748,13.4671,1
691,0.136061,13.3268,1
692,0.026429,13.453,1
693,0.407864,13.229,1
694,0.022422,13.5218,1
695,0.044289,13.3813,1
696,3.178255,13.5304,1
697,0.200610,13.9126,1
698,0.012559,13.2265,1
699,0.508534,13.6951,1
700,0.263168,13.6494,1
701,0.612678,14.163,1
702,1.961212,13.736,3
703,0.003938,13.3371,1
704,0.021944,13.2114,1
705,0.000270,13.2884,1
706,1.510654,13.4592,2
707,0.000158,13.2007,1
708,0.016725,13.7616,1
709,0.146771,13.7464,1
710,0.234499,13.2991,1
711,2.549708,13.1262,2
712,0.009588,12.9749,1
713,0.133822,12.6479,1
714,0.075746,12.5813,1
715,1.204370,13.0864,1
716,1.636666,12.1505,1
717,0.443362,12.2226,1
718,0.221656,13.1507,1
719,0.042502,12.5144,1
720,0.197697,12.2962,1
721,3.300580,12.7725,1
722,1.551722,12.7228,1
723,0.406284,12.5274,1
724,0.647026,12.5171,1
725,2.440316,12.4096,1
726,0.314484,11.997,1
727,0.000378,12.8879,1
728,2.379603,13.6082,1
729,0.060107,13.8739,1
730,0.025229,13.6182,1
731,3.970767,13.6802,1
732,0.045511,13.9011,1
733,0.732733,13.3376,1
734,0.042202,13.5408,1
735,0.129030,13.7726,1
736,0.948061,14.0063,1
737,0.177626,13.8164,1
738,0.000056,13.6048,1
739,0.030339,13.1034,1
740,2.925441,12.607,1
741,0.030195,12.8724,1
742,0.539725,12.827,1
743,0.143630,13.2325,1
744,1.635595,13.5064,1
745,0.000616,13.2258,1
746,2.362238,13.426,1
747,1.329960,13.6478,1
748,0.001748,13.1348,1
749,0.284705,13.0169,1
750,0.237396,13.0654,1
751,0.235446,13.7997,1
752,0.819888,13.2254,1
753,0.241541,12.8195,1
754,0.038908,12.5665,1
755,1.058365,12.574,1
756,0.000837,13.0661,1
757,1.310798,13.1381,1
758,2.667748,13.0076,1
759,2.314341,12.6591,1
760,0.000467,13.2396,1
761,0.717810,12.6483,1
762,0.257892,12.6105,1
763,0.005941,13.5285,1
764,2.586886,13.0347,1
765,1.334096,12.8982,2
766,3.928565,12.8745,1
767,0.019921,12.6106,1
768,0.000554,11.8718,1
769,0.075435,11.7383,1
770,2.741830,11.4447,1
771,0.057148,9.27655,1
772,0.162405,9.33764,1
773,0.238547,9.14844,1
774,0.000162,8.54488,1
775,1.729967,8.59018,1
