Problem Number,Time Taken (s),Best Fitness,Stopped By Condition,Last Generation
142,0.032524,1396339,true,4
143,0.104388,55894,true,13
144,0.0162533,285584690,true,2
145,0.0324255,901104,true,4
146,0.0326243,885115,true,4
147,0.0324432,88290,true,4
148,0.0485003,56457,true,6
149,0.016248,414726,true,2
150,0.0324411,12130,true,4
151,0.0323955,41352,true,4
152,0.0484794,401904,true,6
153,0.024347,936986,true,3
154,0.0406212,41100,true,5
155,0.0404098,1705114,true,5
156,0.0163077,793188,true,2
157,0.0405462,165502,true,5
158,0.0726385,153211,true,9
159,0.0243568,170330,true,3
160,0.0323397,76147,true,4
161,0.0726596,465708,true,9
162,0.0324188,304949,true,4
163,0.07406,11717,true,9
164,0.0342782,450780,true,4
165,0.0596499,359421,true,7
166,0.0425982,96741,true,5
167,0.0764025,363120,true,9
168,0.0596143,118031,true,7
169,0.0171712,82373,true,2
170,0.0258325,1151994,true,3
171,0.0172246,827346,true,2
172,0.034141,1866366,true,4
173,0.0596107,240839,true,7
174,0.0257887,362088,true,3
175,0.0257092,258166,true,3
176,0.067909,1260948,true,8
177,0.034166,11180,true,4
178,0.034143,390087,true,4
179,0.0510413,486172,true,6
180,0.0512021,104230,true,6
181,0.0678962,182460,true,8
182,0.0425242,1465807,true,5
183,0.0936009,16600,true,11
184,0.0595762,186683,true,7
185,0.0172542,215961,true,2
186,0.0426981,127917,true,5
187,0.0594086,2447890,true,7
188,0.0510344,388067,true,6
189,0.0340994,269543,true,4
190,0.0257097,53634,true,3
191,0.0260207,313928,true,3
192,0.0596013,642506,true,7
193,0.0174053,1066914,true,2
194,0.0512367,484434,true,6
195,0.0512626,77463,true,6
196,0.0679236,0,false,8
197,0.0596046,16791,true,7
198,0.0679249,402398,true,8
199,0.0171792,20151,true,2
200,0.0258471,53690,true,3
201,0.0172375,1404282,true,2
202,0.0257665,95452,true,3
203,0.0595145,148967,true,7
204,0.0259832,181439,true,3
205,0.0510125,429083,true,6
206,0.0171841,50616,true,2
207,0.0172405,7359867,true,2
208,0.0343133,1214713,true,4
209,0.0256581,59654,true,3
210,0.0425295,37925,true,5
